#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200098_s_at 846.3   M   0.056152
200099_s_at 15106.6 P   0.000244
208100_x_at 158.7   A   0.567627
208601_s_at 47.2    A   0.904785
208113_x_at 1745    P   0.000244
220976_s_at 115.6   A   0.303711
221232_s_at 183.4   A   0.334473
208066_s_at 753.5   P   0.046143
221268_s_at 140.1   A   0.27417
220996_s_at 13.5    A   0.696289
221239_s_at 424.2   A   0.366211
208134_x_at 651 A   0.303711
208025_s_at 405.2   P   0.046143
208606_s_at 18.4    A   0.753906
208097_s_at 201.5   A   0.432373
208040_s_at 145.2   A   0.398926
220984_s_at 209.7   A   0.080566
221426_s_at 480.4   A   0.5
221026_s_at 12.6    A   0.888428
221417_x_at 33.6    A   0.989258
221010_s_at 397.9   A   0.246094
208130_s_at 477.8   A   0.27417
208128_x_at 632.4   A   0.466064
208088_s_at 23.8    A   0.72583
208607_s_at 19  A   0.888428
221251_x_at 45.6    A   0.888428
221012_s_at 803 P   0.001221
221237_s_at 74.9    A   0.850342
208507_at   81.9    A   0.919434
221269_s_at 2942.2  P   0.00293
208104_s_at 430.4   A   0.219482
221032_s_at 482.9   A   0.466064
221246_x_at 501.9   A   0.129639
221024_s_at 42  A   0.780518
220997_s_at 94.7    A   0.466064
208592_s_at 344 A   0.246094
220998_s_at 220.5   A   0.5
221451_s_at 251.3   A   0.095215
221455_s_at 78  A   0.601074
221266_s_at 237.2   A   0.171387
220989_s_at 610.9   P   0.018555
220962_s_at 476.9   A   0.149658
221023_s_at 168.2   A   0.398926
208147_s_at 146.6   P   0.023926
208149_x_at 2103.9  A   0.095215
221238_at   282.6   A   0.129639
221424_s_at 56.7    A   0.932373
221020_s_at 196.7   A   0.665527
208078_s_at 489.7   A   0.246094
221241_s_at 418.7   A   0.533936
220972_s_at 49.2    A   0.665527
221027_s_at 113 A   0.095215
221240_s_at 473.4   A   0.149658
221415_s_at 487.7   A   0.129639
221016_s_at 267 A   0.129639
208082_x_at 1584.9  P   0.01416
221017_s_at 57.3    A   0.665527
221019_s_at 389.8   A   0.149658
220965_s_at 460.9   A   0.27417
221004_s_at 238.5   A   0.633789
220964_s_at 1617.4  A   0.067627
221234_s_at 346.7   P   0.001953
221448_s_at 276 A   0.303711
221013_s_at 409.1   A   0.171387
220982_s_at 42.2    A   0.904785
208118_x_at 41.2    A   0.398926
208030_s_at 550.2   A   0.129639
221421_s_at 530 P   0.030273
220988_s_at 300.8   A   0.149658
221447_s_at 554.4   A   0.567627
208087_s_at 203.6   A   0.246094
220970_s_at 60.6    A   0.80542
220983_s_at 51.5    A   0.780518
221414_s_at 275.8   A   0.129639
221254_s_at 15.2    A   0.99585
208508_s_at 145.6   A   0.219482
221001_at   228.6   A   0.533936
221005_s_at 42.4    A   0.919434
220975_s_at 241.2   A   0.466064
221429_x_at 17.2    A   0.5
221437_s_at 27.7    A   0.828613
221236_s_at 475.3   M   0.056152
221018_s_at 116.2   A   0.432373
208109_s_at 27.6    A   0.72583
221008_s_at 197.8   A   0.19458
221276_s_at 275.3   A   0.219482
208093_s_at 2078.8  P   0.00293
208509_s_at 168.6   A   0.432373
221034_s_at 339.3   A   0.27417
208131_s_at 661.5   A   0.095215
221260_s_at 243.5   A   0.246094
221262_s_at 28.2    A   0.466064
208107_s_at 34.8    A   0.780518
208027_s_at 298.7   P   0.030273
208153_s_at 165.8   A   0.129639
208022_s_at 7.5 A   0.780518
221438_s_at 11  A   0.919434
221015_s_at 230.7   A   0.366211
208098_at   169.7   A   0.334473
220993_s_at 326.6   A   0.111572
208126_s_at 344.2   A   0.5
221419_s_at 1796.3  P   0.001953
221249_s_at 2002.8  P   0.001953
208604_s_at 217.6   A   0.398926
221227_x_at 691.3   A   0.27417
221230_s_at 1585.9  P   0.000244
221248_s_at 69.1    A   0.567627
208075_s_at 143.2   A   0.5
208152_s_at 545.1   P   0.018555
221029_s_at 25.6    A   0.943848
221272_s_at 108.1   A   0.5
208609_s_at 63.4    A   0.904785
221228_s_at 108.2   A   0.633789
220978_at   216.8   A   0.398926
208151_x_at 170.6   A   0.303711
221270_s_at 107.7   A   0.601074
208021_s_at 343.9   P   0.030273
208121_s_at 326.6   P   0.01416
221259_s_at 34.4    A   0.80542
208146_s_at 475.4   A   0.095215
221033_s_at 501.5   A   0.149658
221261_x_at 52.5    A   0.633789
221035_s_at 79  A   0.780518
204892_x_at 29439.7 P   0.000244
212581_x_at 6610.2  P   0.010742
211983_x_at 7090    P   0.000732
212400_at   647.9   A   0.246094
217464_at   54.4    A   0.696289
212737_at   717.6   A   0.27417
213461_at   157.8   A   0.129639
214167_s_at 2625.5  P   0.005859
214096_s_at 462.3   A   0.432373
211298_s_at 47.5    A   0.533936
221864_at   724.7   P   0.037598
212320_at   1481.7  P   0.00293
200716_x_at 6061    P   0.000244
200748_s_at 17152   P   0.000732
201257_x_at 28172.4 P   0.000244
201231_s_at 562.8   P   0.023926
207243_s_at 13120.5 P   0.000732
200651_at   3872.2  P   0.001221
216326_s_at 635.7   P   0.030273
216520_s_at 12990.1 P   0.000244
212955_s_at 357.7   A   0.27417
200933_x_at 12845.5 P   0.000244
208692_at   12704.7 P   0.000732
221989_at   198.1   A   0.366211
201590_x_at 2012.4  P   0.00293
201891_s_at 47200.5 P   0.000244
201251_at   193.9   A   0.633789
209118_s_at 10085.9 P   0.000244
209619_at   1659.4  P   0.001221
213738_s_at 1209.7  P   0.037598
200966_x_at 2692.4  P   0.010742
201426_s_at 3786.1  P   0.001221
221919_at   154.2   P   0.037598
213011_s_at 2142    P   0.046143
212191_x_at 6342.9  P   0.00293
217740_x_at 11296.5 P   0.000244
213414_s_at 9206.4  P   0.000244
209458_x_at 92448.9 P   0.000244
214359_s_at 181.1   A   0.432373
200773_x_at 3443.7  P   0.001953
215157_x_at 4606.2  P   0.000244
211969_at   1325.5  P   0.000244
209140_x_at 40091.6 P   0.00293
210338_s_at 1522    P   0.00415
201293_x_at 7503.5  P   0.000732
201429_s_at 22388.1 P   0.000244
208792_s_at 313.4   P   0.018555
213883_s_at 178.3   P   0.000732
204419_x_at 49372.2 P   0.000732
200804_at   2062.1  P   0.000732
212082_s_at 10347.4 P   0.000732
201530_x_at 2793.9  P   0.001953
200866_s_at 3436.5  P   0.001221
202310_s_at 264 A   0.303711
201030_x_at 1604.8  P   0.00293
200717_x_at 17642.3 P   0.000244
201471_s_at 1408.6  P   0.046143
216247_at   182 A   0.129639
201049_s_at 12246.7 P   0.000244
200936_at   6633.8  P   0.001953
200839_s_at 1789    P   0.010742
208905_at   660.4   P   0.000244
202403_s_at 291.9   A   0.19458
201665_x_at 9375.8  P   0.000244
217747_s_at 10879.8 P   0.000244
211429_s_at 8846    P   0.000244
201273_s_at 1020.4  P   0.000732
218679_s_at 1578    P   0.030273
200817_x_at 26827.9 P   0.000244
215313_x_at 31657.5 P   0.000244
200869_at   9580    P   0.000244
202409_at   297.5   A   0.432373
204848_x_at 50316.3 P   0.001221
203807_x_at 23.3    A   0.953857
208668_x_at 5356.9  P   0.008057
201596_x_at 209.5   A   0.5
208825_x_at 27300.6 P   0.000732
210949_s_at 900.6   A   0.080566
200650_s_at 2034.7  P   0.000732
214157_at   510 P   0.00415
202493_x_at 11.2    A   0.870361
211999_at   8097.4  P   0.000244
221476_s_at 2797.5  P   0.001953
200912_s_at 2529.6  P   0.000244
200937_s_at 2059.2  P   0.001221
208703_s_at 686.8   P   0.00415
200763_s_at 16391.3 P   0.000244
200886_s_at 2685    P   0.008057
208849_at   299.6   A   0.19458
202028_s_at 3064.8  P   0.000732
208680_at   872.6   P   0.001221
201841_s_at 35.5    A   0.919434
200823_x_at 1709.2  P   0.000244
211161_s_at 111.9   A   0.171387
208977_x_at 368.5   A   0.149658
200962_at   804.6   P   0.030273
214665_s_at 579.5   P   0.001953
204805_s_at 422.7   A   0.129639
208894_at   1588.6  P   0.010742
200679_x_at 561.5   P   0.001953
200858_s_at 6535.1  P   0.000244
203034_s_at 24630.7 P   0.000732
211509_s_at 3327.7  P   0.000244
200640_at   4638.4  P   0.000732
209008_x_at 431.5   P   0.046143
200910_at   494.5   P   0.046143
201010_s_at 15925.4 P   0.000244
208718_at   10814.4 P   0.000244
200738_s_at 3174    P   0.000244
200809_x_at 10573.6 P   0.000244
208645_s_at 20718.3 P   0.000244
200643_at   87.4    A   0.888428
214365_at   70.2    A   0.828613
214414_x_at 54808.9 P   0.000244
217232_x_at 63746.8 P   0.000244
200750_s_at 46.7    A   0.696289
208754_s_at 162.7   A   0.067627
220948_s_at 373.4   A   0.080566
216526_x_at 42150.4 P   0.000244
200783_s_at 125.4   A   0.432373
208655_at   3100.7  P   0.000244
211985_s_at 189.4   P   0.018555
200656_s_at 507.5   P   0.00293
203673_at   606.9   A   0.149658
201258_at   7258.9  P   0.000244
201131_s_at 41  A   0.567627
200888_s_at 4198.7  P   0.000244
