#ID_REF = 
#VALUE = Signal normalized to TGT 500
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200097_s_at 1653.7  P   0.000244
200098_s_at 723.5   A   0.095215
200099_s_at 10000.1 P   0.000732
208100_x_at 534.7   A   0.5
208601_s_at 46.5    A   0.828613
208113_x_at 2289.8  P   0.000732
220976_s_at 316.2   A   0.27417
221232_s_at 381 A   0.303711
208066_s_at 677.4   A   0.080566
221268_s_at 156.3   A   0.080566
220996_s_at 254.6   A   0.398926
221239_s_at 237.1   A   0.601074
208134_x_at 522.9   A   0.334473
208025_s_at 298.6   A   0.219482
208606_s_at 22.7    A   0.780518
208097_s_at 196.8   A   0.398926
208040_s_at 223.9   A   0.398926
220984_s_at 140.4   A   0.246094
221426_s_at 229.9   A   0.533936
221026_s_at 27.1    A   0.870361
221417_x_at 27.1    A   0.998779
221010_s_at 161.5   A   0.601074
208130_s_at 700.5   A   0.111572
208128_x_at 545.4   A   0.334473
208088_s_at 22.4    A   0.870361
208607_s_at 41.3    A   0.633789
221251_x_at 26.6    A   0.943848
221012_s_at 503.7   P   0.00293
221237_s_at 303.6   A   0.5
208507_at   44.3    A   0.969727
221269_s_at 3467    P   0.001221
208104_s_at 745.1   A   0.19458
221032_s_at 497.5   A   0.5
221246_x_at 668.3   A   0.19458
221024_s_at 148.6   A   0.696289
220997_s_at 9   A   0.870361
208592_s_at 369.7   A   0.080566
220998_s_at 428.9   A   0.303711
221451_s_at 348.9   A   0.19458
221455_s_at 51.6    A   0.80542
221266_s_at 325.9   A   0.19458
220989_s_at 673.6   P   0.018555
220962_s_at 632.6   A   0.067627
221023_s_at 73.8    A   0.5
208147_s_at 76.5    A   0.567627
208149_x_at 1526.7  A   0.095215
221238_at   209.9   A   0.067627
221424_s_at 92.3    A   0.828613
221020_s_at 11.8    A   0.780518
208078_s_at 846.7   A   0.129639
221241_s_at 420 A   0.533936
220972_s_at 8.9 A   0.904785
221027_s_at 136.5   A   0.129639
221240_s_at 620.3   A   0.067627
221415_s_at 437.6   A   0.111572
221016_s_at 233.4   A   0.171387
208082_x_at 1534.8  P   0.005859
221017_s_at 53.2    A   0.753906
221019_s_at 310.1   A   0.246094
220965_s_at 726.2   A   0.095215
221004_s_at 200.5   A   0.696289
220964_s_at 1438.6  A   0.111572
221234_s_at 280 P   0.00415
221448_s_at 183.7   A   0.27417
221013_s_at 1016.6  P   0.023926
220982_s_at 23.5    A   0.991943
208118_x_at 80.8    A   0.432373
208030_s_at 972.1   A   0.080566
221421_s_at 464.5   A   0.067627
220988_s_at 313.4   A   0.171387
221447_s_at 602.4   A   0.466064
208087_s_at 237.2   A   0.171387
220970_s_at 40.3    A   0.888428
220983_s_at 49.4    A   0.753906
221414_s_at 482.5   A   0.219482
221254_s_at 27  A   0.998047
208508_s_at 104.6   A   0.334473
221001_at   284 A   0.334473
221005_s_at 58.5    A   0.969727
220975_s_at 299.5   A   0.466064
221429_x_at 139.6   A   0.398926
221437_s_at 30.6    A   0.919434
221236_s_at 354.3   A   0.095215
221018_s_at 119.1   A   0.334473
208109_s_at 10.9    A   0.904785
221008_s_at 125.9   A   0.366211
221276_s_at 62  A   0.466064
208093_s_at 2541.1  P   0.00293
208509_s_at 150 A   0.466064
221034_s_at 563.7   A   0.601074
208131_s_at 526.3   A   0.398926
221260_s_at 244.7   A   0.27417
221262_s_at 37.3    A   0.5
208107_s_at 33.3    A   0.919434
208027_s_at 225.1   A   0.246094
208153_s_at 214.3   A   0.303711
208022_s_at 72.4    A   0.633789
221438_s_at 7.2 A   0.976074
221015_s_at 244.7   A   0.398926
208098_at   116.6   A   0.72583
220993_s_at 305.6   A   0.095215
208126_s_at 218.6   A   0.5
221419_s_at 1924.2  P   0.005859
221249_s_at 2344.3  P   0.00293
208604_s_at 75.6    A   0.633789
221227_x_at 792 A   0.19458
221230_s_at 1205.6  P   0.000244
221248_s_at 150.7   A   0.567627
208075_s_at 94.5    A   0.601074
208152_s_at 626.3   P   0.00293
221029_s_at 21.1    A   0.981445
221272_s_at 33.1    A   0.828613
208609_s_at 52.6    A   0.888428
221228_s_at 54.1    A   0.888428
220978_at   254.4   A   0.432373
208151_x_at 90.5    A   0.696289
221270_s_at 260.8   A   0.601074
208021_s_at 87.6    A   0.533936
208121_s_at 188.4   A   0.19458
221259_s_at 52.5    A   0.850342
208146_s_at 501 A   0.219482
221033_s_at 454.9   A   0.149658
221261_x_at 56.4    A   0.601074
221035_s_at 61.1    A   0.72583
204892_x_at 28833.3 P   0.000732
212581_x_at 5655.5  P   0.008057
211983_x_at 7799.9  P   0.000732
212400_at   857.8   A   0.129639
217464_at   38.1    A   0.850342
212737_at   1113.4  A   0.149658
213461_at   59.2    A   0.567627
214167_s_at 1514.3  P   0.046143
214096_s_at 184 A   0.601074
211298_s_at 74.8    A   0.665527
221864_at   686 P   0.010742
212320_at   1412.3  P   0.00293
200716_x_at 7744.6  P   0.000732
200748_s_at 26749.9 P   0.000732
201257_x_at 21787   P   0.000244
201231_s_at 1206.9  P   0.023926
207243_s_at 11387.3 P   0.001221
200651_at   3188.5  P   0.001953
216326_s_at 811.6   P   0.00293
216520_s_at 13299.4 P   0.000244
212955_s_at 372.1   A   0.303711
200933_x_at 11785.7 P   0.000244
208692_at   9117.9  P   0.000732
221989_at   150.7   A   0.466064
201590_x_at 1114.4  P   0.018555
201891_s_at 58793.2 P   0.000244
201251_at   344.2   A   0.334473
209118_s_at 6213.6  P   0.000244
209619_at   2029.3  P   0.001221
213738_s_at 1117.5  P   0.046143
200966_x_at 3312    P   0.008057
201426_s_at 6825.6  P   0.000732
221919_at   185.5   A   0.129639
213011_s_at 1393.3  P   0.030273
212191_x_at 5935.9  P   0.010742
217740_x_at 9311.6  P   0.000244
213414_s_at 5113.9  P   0.000732
209458_x_at 150822.5    P   0.000244
214359_s_at 241.7   A   0.19458
200773_x_at 3024.2  P   0.001953
215157_x_at 4702.9  P   0.000244
211969_at   1514    P   0.000244
209140_x_at 52433.5 P   0.000732
210338_s_at 1461    P   0.001953
201293_x_at 5740.6  P   0.00293
201429_s_at 23013.1 P   0.000732
208792_s_at 258.6   A   0.366211
213883_s_at 248.8   P   0.008057
204419_x_at 22291.7 P   0.001953
200804_at   2711.3  P   0.000244
212082_s_at 12062.6 P   0.000732
201530_x_at 3094.1  P   0.001953
200866_s_at 4708.7  P   0.000732
202310_s_at 307.5   A   0.27417
201030_x_at 1380.4  P   0.00293
200717_x_at 18093.7 P   0.000244
201471_s_at 1876.6  P   0.018555
216247_at   97.5    A   0.334473
201049_s_at 7618.3  P   0.000244
200936_at   4471    P   0.001953
200839_s_at 4924.7  P   0.001953
208905_at   442.5   P   0.001953
202403_s_at 249.9   P   0.01416
201665_x_at 9192.7  P   0.000732
217747_s_at 9303.7  P   0.000244
211429_s_at 12665.2 P   0.000244
201273_s_at 668.9   P   0.000732
218679_s_at 2463.1  P   0.008057
200817_x_at 25689.8 P   0.000244
215313_x_at 51380.3 P   0.000244
200869_at   5597.9  P   0.000244
202409_at   195.6   A   0.366211
