#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200098_s_at 747.9   A   0.432373
200099_s_at 5878.7  P   0.000732
208100_x_at 849.5   A   0.366211
208601_s_at 115.7   A   0.753906
208113_x_at 1388.6  P   0.000732
220976_s_at 450.2   A   0.129639
221232_s_at 492.1   A   0.366211
208066_s_at 389.7   A   0.246094
221268_s_at 244.1   P   0.018555
220996_s_at 149.7   A   0.533936
221239_s_at 51.8    A   0.780518
208134_x_at 876.2   A   0.334473
208025_s_at 414.3   A   0.080566
208606_s_at 28.3    A   0.780518
208097_s_at 369.2   A   0.366211
208040_s_at 429 A   0.398926
220984_s_at 469.6   A   0.149658
221426_s_at 505.9   A   0.5
221026_s_at 41.9    A   0.696289
221417_x_at 57.6    A   0.99585
221010_s_at 829.9   A   0.432373
208130_s_at 627.3   A   0.246094
208128_x_at 209.1   A   0.432373
208088_s_at 14.7    A   0.976074
208607_s_at 50.9    A   0.919434
221251_x_at 47.7    A   0.969727
221012_s_at 614.8   P   0.01416
221237_s_at 101.6   A   0.780518
208507_at   107.4   A   0.932373
221269_s_at 2617.1  P   0.008057
208104_s_at 773.2   A   0.366211
221032_s_at 1398.4  A   0.246094
221246_x_at 1409    A   0.111572
221024_s_at 55.3    A   0.870361
220997_s_at 34.7    A   0.696289
208592_s_at 571.9   A   0.149658
220998_s_at 167.3   A   0.696289
221451_s_at 540.6   A   0.129639
221455_s_at 58.1    A   0.72583
221266_s_at 340.4   A   0.398926
220989_s_at 835.2   A   0.080566
220962_s_at 562.2   A   0.246094
221023_s_at 259.7   A   0.432373
208147_s_at 114.1   A   0.601074
208149_x_at 3125    A   0.111572
221238_at   205.9   A   0.129639
221424_s_at 124.1   A   0.780518
221020_s_at 10.4    A   0.888428
208078_s_at 631.5   A   0.246094
221241_s_at 604.5   A   0.533936
220972_s_at 19.1    A   0.850342
221027_s_at 63.9    A   0.27417
221240_s_at 211.3   A   0.567627
221415_s_at 507.7   A   0.171387
221016_s_at 370.6   A   0.129639
208082_x_at 1215.7  P   0.030273
221017_s_at 74.7    A   0.665527
221019_s_at 660.9   A   0.111572
220965_s_at 227.3   A   0.432373
221004_s_at 123.3   A   0.696289
220964_s_at 890.9   A   0.27417
221234_s_at 326.3   P   0.010742
221448_s_at 310.4   A   0.303711
221013_s_at 1168    A   0.111572
220982_s_at 84.4    A   0.969727
208118_x_at 657.5   A   0.111572
208030_s_at 1151.6  A   0.095215
221421_s_at 886.3   A   0.067627
220988_s_at 294.8   A   0.219482
221447_s_at 1043.5  A   0.5
208087_s_at 468.1   A   0.111572
220970_s_at 95.7    A   0.904785
