#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detecion call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200097_s_at 1175.8  P   0.000732
200098_s_at 1018.5  A   0.246094
200099_s_at 8393.1  P   0.000732
208100_x_at 298.1   A   0.533936
208601_s_at 76.2    A   0.80542
208113_x_at 1855.8  P   0.000244
220976_s_at 266 A   0.129639
221232_s_at 205 A   0.466064
208066_s_at 586.3   P   0.046143
221268_s_at 222.4   P   0.037598
220996_s_at 244.6   A   0.567627
221239_s_at 196.4   A   0.533936
208134_x_at 774.4   A   0.27417
208025_s_at 508 A   0.111572
208606_s_at 19.1    A   0.80542
208097_s_at 193.8   A   0.466064
208040_s_at 176.6   A   0.5
220984_s_at 128.5   A   0.246094
221426_s_at 420.3   A   0.466064
221026_s_at 32.8    A   0.828613
221417_x_at 31.4    A   0.99707
221010_s_at 428.7   A   0.303711
208130_s_at 217.5   A   0.432373
208128_x_at 291 A   0.567627
208088_s_at 30.3    A   0.870361
208607_s_at 41.6    A   0.888428
221251_x_at 30.4    A   0.953857
221012_s_at 666.6   P   0.00415
221237_s_at 92.7    A   0.753906
208507_at   82.6    A   0.919434
221269_s_at 2984.6  P   0.001221
208104_s_at 463.9   A   0.171387
221032_s_at 643.3   A   0.334473
221246_x_at 840.3   A   0.067627
221024_s_at 65.2    A   0.753906
220997_s_at 55.3    A   0.601074
208592_s_at 151 A   0.533936
220998_s_at 153 A   0.466064
221451_s_at 341.8   A   0.171387
221455_s_at 51.7    A   0.696289
221266_s_at 383.5   A   0.19458
220989_s_at 534.2   P   0.030273
220962_s_at 981.7   A   0.067627
221023_s_at 58.8    A   0.633789
208147_s_at 171.3   A   0.067627
208149_x_at 2291.4  A   0.111572
221238_at   217 A   0.171387
221424_s_at 74.2    A   0.828613
221020_s_at 125.6   A   0.567627
208078_s_at 453.9   A   0.219482
221241_s_at 645.9   A   0.533936
220972_s_at 25.2    A   0.567627
221027_s_at 45.3    A   0.19458
221240_s_at 414.2   P   0.037598
221415_s_at 465.4   A   0.171387
221016_s_at 312.3   A   0.149658
208082_x_at 1171.6  P   0.010742
221017_s_at 73.4    A   0.72583
221019_s_at 356.9   A   0.171387
220965_s_at 281.6   A   0.19458
221004_s_at 245.3   A   0.665527
220964_s_at 1722.4  A   0.080566
221234_s_at 308.1   P   0.000244
221448_s_at 177.9   A   0.334473
221013_s_at 418.2   A   0.27417
220982_s_at 39.2    A   0.976074
208118_x_at 425.4   A   0.219482
