#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detecion call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
209012_at   274.4   A   0.27417
204990_s_at 90.8    A   0.72583
213046_at   1020.4  P   0.00415
210759_s_at 794.7   A   0.149658
207760_s_at 945.5   A   0.171387
201424_s_at 24.4    A   0.665527
201390_s_at 1859.5  P   0.030273
209503_s_at 178 A   0.5
201599_at   245.4   P   0.001953
217765_at   357.5   A   0.432373
201616_s_at 24.7    A   0.953857
205719_s_at 173.7   P   0.030273
209860_s_at 1041.9  P   0.00415
210139_s_at 166.9   A   0.567627
202627_s_at 73.5    A   0.888428
217847_s_at 49.5    A   0.888428
221664_s_at 1282.7  M   0.056152
205388_at   53.7    A   0.633789
201666_at   1820.2  M   0.056152
201785_at   526.6   A   0.27417
203252_at   277.7   A   0.303711
201389_at   980.5   A   0.067627
201687_s_at 124.7   A   0.171387
201719_s_at 28  A   0.567627
201998_at   1081.5  P   0.023926
201757_at   271.3   A   0.067627
222212_s_at 998.7   A   0.19458
203523_at   2400.8  P   0.005859
202611_s_at 25.9    A   0.533936
201745_at   237.9   P   0.037598
217749_at   385.5   A   0.171387
201860_s_at 170.5   A   0.27417
202167_s_at 395.1   M   0.056152
202325_s_at 339.6   A   0.067627
209048_s_at 326.7   A   0.398926
202242_at   355.1   A   0.246094
201146_at   690.4   P   0.001221
201713_s_at 120.4   A   0.19458
201405_s_at 760 P   0.030273
213793_s_at 23.9    A   0.780518
217816_s_at 442.9   P   0.00293
202467_s_at 367.4   A   0.067627
203948_s_at 70.1    A   0.780518
212136_at   1013.3  P   0.01416
202237_at   89.3    A   0.601074
201023_at   635 P   0.008057
201498_at   544.7   A   0.19458
212470_at   901.9   P   0.001221
217819_at   1647.6  P   0.000244
208978_at   196.4   A   0.633789
205202_at   314.5   P   0.046143
201577_at   812.4   A   0.067627
210976_s_at 855.4   P   0.005859
201479_at   115.6   A   0.398926
201664_at   325.9   P   0.005859
201098_at   754.8   P   0.00415
201379_s_at 775.1   A   0.095215
205216_s_at 524.9   A   0.219482
217830_s_at 770.2   P   0.008057
201376_s_at 208.7   A   0.067627
214022_s_at 11822.4 P   0.000244
212063_at   2809.7  P   0.000732
202317_s_at 1480.1  A   0.171387
201089_at   4231    P   0.000244
205302_at   189.8   A   0.246094
208191_x_at 632.3   A   0.111572
218057_x_at 315.2   A   0.095215
201176_s_at 716.4   P   0.018555
201445_at   70.5    A   0.601074
201282_at   301.2   A   0.246094
202003_s_at 85  A   0.72583
201928_at   202.4   A   0.111572
212257_s_at 411.2   P   0.023926
207922_s_at 1097.7  M   0.056152
201503_at   369.8   P   0.000244
207707_s_at 116.9   A   0.780518
201692_at   310 A   0.219482
201371_s_at 791.9   P   0.00415
217788_s_at 589.3   P   0.030273
201880_at   38.6    A   0.432373
209480_at   379.6   A   0.246094
205766_at   94  A   0.80542
202037_s_at 426 M   0.056152
203929_s_at 499.9   A   0.19458
203878_s_at 102.7   A   0.567627
201759_at   667.7   A   0.171387
201850_at   698.5   P   0.046143
1007_s_at   912.1   A   0.081337
201721_s_at 18771   P   0.000244
201321_s_at 499.7   P   0.008057
217975_at   245.5   A   0.19458
214730_s_at 1410.2  P   0.005859
207541_s_at 201.2   A   0.171387
217771_at   23.5    A   0.828613
217848_s_at 586.5   A   0.129639
202634_at   281.6   P   0.00415
215127_s_at 1967.9  P   0.001221
209082_s_at 441.6   A   0.246094
201343_at   638.8   P   0.00293
201500_s_at 2048.4  P   0.00415
201734_at   964.8   P   0.000732
202424_at   1131.8  M   0.056152
204919_at   415.6   A   0.111572
201558_at   461.1   P   0.000244
201396_s_at 63.9    A   0.432373
217798_at   584.2   P   0.046143
201324_at   121.4   A   0.303711
217772_s_at 818.8   A   0.27417
201330_at   58.6    A   0.72583
201753_s_at 1748.4  P   0.000244
209114_at   103.6   A   0.466064
212410_at   321.2   P   0.00293
201783_s_at 1474.3  P   0.018555
201809_s_at 280.1   A   0.72583
205644_s_at 510.1   P   0.037598
201762_s_at 1519.9  P   0.010742
208336_s_at 30.4    A   0.80542
201439_at   366.5   A   0.149658
210428_s_at 1085.3  P   0.00293
207239_s_at 544.5   A   0.080566
202532_s_at 273.6   M   0.056152
217874_at   701.7   A   0.129639
215088_s_at 539.2   P   0.023926
212218_s_at 374.2   P   0.023926
207826_s_at 100.6   A   0.888428
210980_s_at 765.8   P   0.000244
201351_s_at 340.9   P   0.000244
201502_s_at 1512.6  P   0.008057
201743_at   2560.6  P   0.000732
214433_s_at 2626.6  P   0.000732
201350_at   4205.6  P   0.001953
210052_s_at 315 A   0.334473
201924_at   877 P   0.000244
201494_at   1523    A   0.067627
208892_s_at 1287.1  P   0.000244
206689_x_at 754.8   A   0.171387
203299_s_at 334.4   A   0.171387
208819_at   1573    P   0.023926
208982_at   4391.3  P   0.00415
203953_s_at 16.3    A   0.943848
218353_at   322.3   A   0.111572
201170_s_at 318.6   A   0.171387
208944_at   1746.4  P   0.000244
208807_s_at 168.5   A   0.398926
1598_g_at   1764.2  A   0.081337
218007_s_at 486.9   P   0.023926
212346_s_at 345.9   A   0.366211
202045_s_at 478 A   0.27417
205163_at   78.2    A   0.567627
37005_at    785.9   A   0.418069
214683_s_at 200.2   A   0.19458
209037_s_at 234.3   P   0.010742
207935_s_at 20.2    A   0.888428
214853_s_at 713.3   P   0.01416
202900_s_at 154.6   A   0.601074
209179_s_at 4285.1  P   0.005859
209351_at   27.6    A   0.753906
201553_s_at 2663.9  P   0.000244
215690_x_at 565 A   0.398926
202465_at   37.7    A   0.953857
201655_s_at 44.7    A   0.953857
202286_s_at 239.1   A   0.5
217786_at   55.9    A   0.72583
40465_at    185.2   A   0.602006
205387_s_at 31  A   0.919434
209220_at   284.5   A   0.129639
210827_s_at 1544    P   0.037598
201511_at   608 A   0.334473
201132_at   498.3   P   0.000244
212753_at   560.7   P   0.037598
201911_s_at 23.6    A   0.932373
216268_s_at 222.5   P   0.010742
212125_at   745.5   A   0.219482
201832_s_at 496.5   A   0.095215
201394_s_at 540.3   A   0.366211
202247_s_at 519.8   A   0.149658
217922_at   902.3   P   0.01416
212185_x_at 3546.3  A   0.219482
210502_s_at 52  A   0.633789
206385_s_at 174.3   A   0.19458
209894_at   116.3   P   0.023926
217849_s_at 23.2    A   0.850342
202361_at   666.5   A   0.246094
217843_s_at 188.3   P   0.000732
201486_at   84.6    A   0.129639
207614_s_at 372.7   M   0.056152
201952_at   237.1   A   0.334473
211551_at   625 P   0.018555
209861_s_at 43.5    A   0.5
201876_at   195.5   A   0.334473
219693_at   163.3   A   0.466064
217790_s_at 69.3    A   0.696289
221830_at   687.5   P   0.01416
201386_s_at 284.2   A   0.303711
220200_s_at 36.6    A   0.567627
208939_at   413.3   P   0.023926
202191_s_at 619.3   P   0.010742
202095_s_at 168.7   A   0.601074
208972_s_at 333.1   A   0.466064
201384_s_at 645.3   A   0.149658
202092_s_at 1141.8  A   0.095215
212696_s_at 195.3   A   0.219482
201484_at   1116.1  A   0.067627
201183_s_at 1082.4  P   0.005859
219329_s_at 671.5   P   0.01416
201840_at   714 A   0.129639
201276_at   1168.4  P   0.010742
208848_at   411.3   A   0.067627
201605_x_at 2735.2  P   0.018555
202855_s_at 1315.5  A   0.111572
201597_at   2142.5  P   0.001953
201576_s_at 1685.6  A   0.067627
209175_at   411.8   M   0.056152
201433_s_at 1523.4  P   0.018555
201761_at   563.6   A   0.19458
201336_at   1829    M   0.056152
218002_s_at 13.3    A   0.850342
211023_at   153.6   A   0.366211
202704_at   362 A   0.095215
209036_s_at 593.8   P   0.023926
201899_s_at 758.4   P   0.030273
201661_s_at 280.3   A   0.080566
208938_at   139.4   A   0.334473
201819_at   224.5   A   0.303711
214075_at   114 A   0.943848
217865_at   2151    P   0.01416
201695_s_at 1386.1  P   0.037598
203008_x_at 560.7   A   0.095215
201829_at   134.6   A   0.129639
208270_s_at 1015.5  A   0.067627
208835_s_at 262.8   M   0.056152
204767_s_at 293.2   A   0.366211
201598_s_at 147.3   A   0.398926
201234_at   1806.6  A   0.219482
211275_s_at 1082.4  P   0.023926
208926_at   212.7   A   0.567627
202758_s_at 449.9   A   0.27417
202224_at   501.5   A   0.111572
202219_at   2382.3  P   0.046143
213608_s_at 1399    P   0.030273
218143_s_at 1433.5  P   0.000732
209224_s_at 1012.1  P   0.000244
220386_s_at 540 P   0.037598
216733_s_at 221.8   A   0.067627
201939_at   25  A   0.753906
210137_s_at 268.9   A   0.334473
221483_s_at 1489.4  P   0.000732
201788_at   869.2   P   0.023926
201546_at   1207.6  P   0.037598
201407_s_at 183.5   P   0.030273
208861_s_at 1020.8  P   0.023926
201649_at   2071.4  P   0.001953
213129_s_at 155.4   P   0.005859
202376_at   483.4   A   0.303711
221485_at   502.1   P   0.010742
201709_s_at 121.8   A   0.753906
209102_s_at 1326.8  A   0.129639
201803_at   418.2   A   0.432373
212312_at   3363.5  P   0.030273
210719_s_at 64.1    A   0.80542
220046_s_at 804.4   M   0.056152
201600_at   1947.9  P   0.000244
201513_at   102.1   A   0.171387
212255_s_at 414.2   P   0.023926
203757_s_at 94.8    A   0.533936
202718_at   106.9   A   0.601074
202602_s_at 326.1   P   0.037598
212895_s_at 1473.1  P   0.030273
202183_s_at 60.9    A   0.303711
201349_at   1406.6  P   0.030273
202454_s_at 247.9   A   0.171387
209199_s_at 355.1   A   0.432373
221829_s_at 1268.6  P   0.000732
35201_at    2027.8  P   0.003585
209030_s_at 346.7   A   0.27417
201892_s_at 62.5    A   0.665527
202081_at   6332.5  P   0.00415
202110_at   953.2   P   0.046143
40093_at    283 A   0.418069
203032_s_at 155.2   P   0.023926
202133_at   83.1    A   0.432373
202203_s_at 560.7   M   0.056152
217867_x_at 21.9    A   0.753906
208924_at   1238    P   0.001221
201714_at   27  A   0.665527
218250_s_at 795.9   P   0.005859
214198_s_at 843.9   P   0.008057
202299_s_at 903.4   P   0.010742
210042_s_at 215.8   A   0.303711
209504_s_at 77.2    A   0.533936
201953_at   1163.9  P   0.001953
221613_s_at 847.6   P   0.001221
221871_s_at 98.6    A   0.633789
208370_s_at 129.4   A   0.601074
201697_s_at 488 A   0.111572
202125_s_at 660.5   P   0.018555
209752_at   35.8    A   0.398926
208998_at   3003.2  P   0.00415
201801_s_at 252.5   A   0.095215
201835_s_at 530.4   A   0.303711
206139_at   831.5   P   0.00293
201532_at   251.5   A   0.19458
217840_at   164.8   A   0.398926
201857_at   813.4   P   0.001221
201536_at   504.4   A   0.19458
209978_s_at 330.1   A   0.601074
201968_s_at 1033.6  P   0.010742
202145_at   116.4   A   0.567627
208996_s_at 959.5   A   0.095215
201770_at   341.5   A   0.5
204940_at   42  A   0.432373
201555_at   656.9   A   0.095215
202362_at   2172.9  P   0.000732
201413_at   338.6   A   0.171387
201682_at   108.9   A   0.753906
211988_at   333.3   M   0.056152
217812_at   386 P   0.010742
201921_at   3431.2  P   0.00293
213022_s_at 404.9   A   0.080566
202005_at   320.3   A   0.567627
201781_s_at 659.9   A   0.067627
202646_s_at 1155.1  P   0.046143
202284_s_at 403 A   0.601074
202744_at   54.5    A   0.665527
202555_s_at 32.3    A   0.981445
201966_at   1145.8  A   0.398926
201791_s_at 118 A   0.432373
208932_at   181.6   A   0.567627
215705_at   673.2   A   0.219482
210202_s_at 381.3   P   0.046143
201853_s_at 1976.5  P   0.00293
217913_at   764.3   P   0.046143
201624_at   115.7   P   0.01416
202108_at   242.4   A   0.533936
220408_x_at 572.5   A   0.080566
201534_s_at 214.1   P   0.023926
201567_s_at 338.3   P   0.030273
207506_at   140.4   A   0.533936
201806_s_at 318.2   A   0.334473
201675_at   463 A   0.149658
202709_at   1036.8  P   0.001953
202483_s_at 476.1   A   0.567627
202071_at   430.1   A   0.366211
201591_s_at 1607.9  A   0.095215
202240_at   84.6    A   0.334473
211285_s_at 497.5   P   0.01416
201765_s_at 123.1   A   0.533936
217892_s_at 638.9   A   0.067627
212971_at   1871.1  P   0.01416
202165_at   392.3   M   0.056152
204561_x_at 74.5    A   0.665527
218147_s_at 63.7    A   0.334473
208837_at   609 P   0.018555
216221_s_at 1961    P   0.000244
213756_s_at 71.6    A   0.432373
205892_s_at 33.7    A   0.919434
201771_at   668.4   A   0.19458
208886_at   333.1   A   0.27417
202253_s_at 294.9   A   0.171387
219432_at   34.9    A   0.994141
203408_s_at 1481.6  P   0.000732
201630_s_at 718 P   0.046143
202260_s_at 288.6   A   0.149658
201400_at   1705.2  P   0.030273
217803_at   663.1   P   0.001221
217860_at   639.9   P   0.046143
202345_s_at 41  A   0.533936
201963_at   2584.4  P   0.000732
211168_s_at 650.1   A   0.19458
221792_at   903.2   A   0.095215
217869_at   653.4   P   0.01416
201994_at   999.9   P   0.001221
202122_s_at 847 A   0.067627
203221_at   984.1   P   0.000732
201631_s_at 759.7   P   0.001953
202052_s_at 29.9    A   0.932373
217887_s_at 256.6   A   0.111572
214113_s_at 379.8   P   0.00293
202298_at   592.4   A   0.111572
55705_at    34848.3 P   0.000219
213812_s_at 1905.6  A   0.080566
221619_s_at 1568.7  P   0.005859
201641_at   551.7   A   0.149658
209106_at   602 A   0.111572
212118_at   1393.6  P   0.046143
201393_s_at 2254.6  P   0.00415
201651_s_at 1525.3  P   0.00293
206442_at   168.4   A   0.246094
202157_s_at 4977.1  P   0.000732
202160_at   701.1   P   0.018555
208946_s_at 511.2   P   0.005859
208833_s_at 961 P   0.01416
209014_at   794.6   A   0.303711
202217_at   850.2   A   0.303711
204548_at   53.2    A   0.696289
201941_at   1524.8  M   0.056152
217945_at   302.2   M   0.056152
210649_s_at 161 A   0.334473
215000_s_at 819.1   P   0.023926
203485_at   65.4    A   0.5
201957_at   756.8   A   0.219482
213176_s_at 65.3    A   0.904785
214087_s_at 375.9   P   0.010742
202001_s_at 617.9   P   0.023926
201574_at   389 A   0.334473
207525_s_at 417.7   A   0.171387
209040_s_at 1289.2  P   0.046143
210024_s_at 558.5   P   0.037598
216321_s_at 981.2   P   0.005859
201849_at   164.9   A   0.398926
203828_s_at 211.3   A   0.753906
202277_at   681.6   P   0.000244
209309_at   208.2   M   0.056152
212223_at   816.6   P   0.01416
208074_s_at 1296.9  P   0.037598
201872_s_at 323 M   0.056152
216238_s_at 266.2   A   0.129639
219483_s_at 492.7   A   0.303711
219375_at   470 A   0.149658
201725_at   1103.9  A   0.067627
201526_at   1409.1  P   0.030273
201851_at   271.3   A   0.567627
218205_s_at 1169.5  P   0.00415
209357_at   312.2   A   0.19458
213741_s_at 264.9   P   0.030273
202230_s_at 437.1   P   0.018555
202448_s_at 624.6   P   0.046143
202172_at   974.6   P   0.001221
202488_s_at 1876.4  P   0.01416
203854_at   235.8   P   0.018555
209029_at   459.2   A   0.303711
201480_s_at 1275.6  P   0.023926
202207_at   1194.6  P   0.008057
207625_s_at 99.3    A   0.466064
208882_s_at 386.5   P   0.00293
208991_at   2807.4  P   0.001953
201740_at   765.8   A   0.067627
207157_s_at 2146.3  P   0.00415
205024_s_at 381.2   A   0.27417
202947_s_at 24175.4 P   0.000732
201612_at   461.8   A   0.067627
202155_s_at 1469.6  P   0.018555
201864_at   965.7   P   0.037598
209196_at   454.2   A   0.567627
201648_at   1996.8  P   0.000244
201816_s_at 152.1   P   0.010742
202041_s_at 437.8   A   0.334473
208943_s_at 686.2   A   0.111572
201672_s_at 564.9   P   0.023926
216264_s_at 50.8    A   0.398926
203663_s_at 522.8   P   0.037598
217815_at   1376.8  P   0.018555
218086_at   36  A   0.753906
209295_at   542.6   P   0.008057
217993_s_at 2868.8  P   0.001221
217846_at   1132.8  P   0.023926
201659_s_at 220.5   A   0.334473
212378_at   495.5   A   0.149658
40489_at    858.2   A   0.32083
217971_at   747 M   0.056152
201908_at   504.8   P   0.046143
209267_s_at 131.4   A   0.366211
202008_s_at 399.1   A   0.129639
212318_at   655.9   P   0.046143
202845_s_at 1415.3  P   0.001221
209108_at   271.1   A   0.219482
210409_at   263.3   A   0.334473
209033_s_at 1744.1  P   0.00415
209047_at   772.7   A   0.095215
203216_s_at 142.1   A   0.303711
206332_s_at 1121.4  P   0.001221
202717_s_at 352.1   P   0.005859
209022_at   1778.2  P   0.000244
204199_at   140.7   A   0.432373
202477_s_at 507 A   0.129639
217827_s_at 681.4   P   0.046143
209535_s_at 384.5   P   0.030273
205479_s_at 269.4   A   0.27417
202405_at   135.8   A   0.129639
218671_s_at 494.5   A   0.171387
201578_at   469.2   A   0.111572
203434_s_at 554.9   P   0.023926
209130_at   1291.3  P   0.000244
217906_at   451.2   M   0.056152
201575_at   738.7   P   0.000244
217839_at   354.5   A   0.533936
38703_at    1434.2  P   0.009985
209392_at   319 P   0.037598
202078_at   819.6   P   0.01416
201749_at   1040.7  P   0.00415
203543_s_at 15.9    A   0.633789
202267_at   563.5   A   0.303711
221667_s_at 129.6   A   0.466064
201517_at   520.1   P   0.01416
33132_at    104.3   A   0.715253
202556_s_at 1211.2  M   0.056152
202439_s_at 443.8   P   0.00415
209135_at   109.9   A   0.533936
217882_at   3513.8  P   0.000732
201887_at   1299.5  P   0.000732
208994_s_at 867.2   A   0.080566
203105_s_at 257.6   A   0.080566
209348_s_at 463.2   P   0.005859
217862_at   1653.4  P   0.000244
202551_s_at 9.9 A   0.72583
202373_s_at 551.6   A   0.246094
221827_at   877.3   A   0.095215
202054_s_at 60.7    A   0.665527
202096_s_at 2729.9  P   0.000732
202334_s_at 1252.9  P   0.018555
218215_s_at 287.1   A   0.246094
212586_at   308.3   A   0.129639
201603_at   507.9   P   0.00293
209173_at   22.1    A   0.994141
215097_at   582.4   A   0.466064
217901_at   82.3    A   0.533936
208898_at   597.3   P   0.030273
210293_s_at 227.1   P   0.018555
214268_s_at 637.2   A   0.111572
201758_at   881.5   A   0.129639
209139_s_at 21.2    A   0.753906
201592_at   1088.1  P   0.030273
217791_s_at 525 A   0.080566
221507_at   369.8   P   0.023926
212298_at   123.1   A   0.303711
218469_at   191.1   A   0.129639
220757_s_at 5154.8  P   0.001221
213704_at   182.7   A   0.219482
205050_s_at 629.4   P   0.018555
209526_s_at 218.9   A   0.27417
212269_s_at 34.5    A   0.828613
201931_at   174.7   A   0.149658
209944_at   874 P   0.00293
202283_at   120.8   A   0.696289
221499_s_at 941.2   P   0.00415
212878_s_at 170.7   A   0.149658
202929_s_at 67.8    A   0.753906
208921_s_at 959.7   A   0.067627
201916_s_at 353.7   P   0.037598
202202_s_at 185 P   0.037598
209028_s_at 477.5   P   0.000244
221748_s_at 1393.3  P   0.001953
201434_at   123.5   A   0.904785
218080_x_at 105.9   A   0.601074
203849_s_at 38  A   0.533936
213795_s_at 121.8   A   0.533936
217912_at   348.9   A   0.366211
202164_s_at 601.9   P   0.030273
201954_at   2628.2  P   0.001221
202088_at   213.1   A   0.111572
202295_s_at 1084.5  P   0.037598
201913_s_at 533.9   A   0.19458
203460_s_at 819.6   P   0.000244
209003_at   1490.8  A   0.080566
211317_s_at 804.5   M   0.056152
201795_at   2149.4  P   0.00293
203370_s_at 737.3   P   0.030273
201419_at   589.3   A   0.432373
49077_at    907.4   A   0.127645
202593_s_at 448 M   0.056152
204054_at   505.4   A   0.149658
201528_at   318.3   A   0.111572
211558_s_at 304.7   A   0.398926
202152_x_at 666.8   A   0.5
220076_at   268 A   0.567627
204560_at   16.5    A   0.991943
202118_s_at 483.1   P   0.010742
212102_s_at 329.1   P   0.046143
218078_s_at 572.2   A   0.067627
209205_s_at 467.6   P   0.046143
216885_s_at 869.6   A   0.095215
201870_at   869.2   A   0.111572
212429_s_at 481.1   A   0.27417
201871_s_at 1197.8  A   0.171387
209617_s_at 104.8   A   0.533936
203202_at   278.2   P   0.037598
217990_at   48.2    A   0.665527
217478_s_at 907.2   P   0.001953
202009_at   702.4   A   0.19458
205650_s_at 988.8   A   0.149658
201722_s_at 548.4   P   0.023926
201972_at   2308.8  P   0.008057
207769_s_at 225.1   P   0.008057
208598_s_at 1131.1  P   0.01416
213571_s_at 401.1   A   0.129639
202012_s_at 562.1   A   0.171387
212657_s_at 1320.6  P   0.001953
211548_s_at 28.4    A   0.601074
201703_s_at 856.3   A   0.246094
201738_at   1619.8  P   0.000244
214577_at   135 A   0.334473
210621_s_at 212.2   P   0.030273
207847_s_at 450.9   A   0.095215
201579_at   269.7   A   0.246094
202116_at   503.6   A   0.466064
202123_s_at 462.8   A   0.19458
201920_at   306.4   A   0.129639
202415_s_at 109.2   A   0.665527
220319_s_at 437.5   A   0.27417
202437_s_at 209.7   A   0.111572
201823_s_at 337.1   P   0.008057
206449_s_at 351.1   A   0.095215
218326_s_at 12.6    A   0.633789
202023_at   55.8    A   0.753906
203752_s_at 5868.2  P   0.000244
210907_s_at 1625.6  P   0.005859
207585_s_at 2152    P   0.000244
202236_s_at 345.1   A   0.334473
213551_x_at 540.5   A   0.303711
207574_s_at 782.6   P   0.000244
218009_s_at 202.9   A   0.533936
201673_s_at 750.4   M   0.056152
209786_at   654.8   P   0.001953
211136_s_at 627.5   A   0.19458
209269_s_at 391.4   A   0.27417
217829_s_at 107.9   A   0.567627
201828_x_at 1228.4  A   0.27417
201847_at   808.2   P   0.018555
209044_x_at 982.4   A   0.149658
205145_s_at 432.8   A   0.19458
218092_s_at 391.5   P   0.005859
213919_at   834.6   P   0.037598
46270_at    1303.6  A   0.098054
217817_at   461 A   0.432373
202112_at   69.9    A   0.932373
201628_s_at 452 A   0.149658
202421_at   448.5   P   0.030273
215535_s_at 1041.2  M   0.056152
57163_at    545.5   A   0.07383
202831_at   936.6   A   0.171387
217861_s_at 491.6   A   0.111572
206562_s_at 190.9   A   0.5
201886_at   1493.8  A   0.149658
217979_at   342 P   0.00415
204422_s_at 15.1    A   0.888428
201987_at   442.6   P   0.010742
217873_at   1400.8  P   0.008057
632_at  1745    P   0.014937
204653_at   710.4   P   0.037598
209275_s_at 726 A   0.219482
215418_at   503.3   A   0.149658
209035_at   83.2    A   0.5
202187_s_at 1934.9  A   0.171387
202505_at   639.5   A   0.171387
209262_s_at 24.2    A   0.919434
201700_at   1934.7  P   0.000732
209093_s_at 514.8   A   0.171387
209094_at   172.6   A   0.601074
202501_at   819 P   0.037598
202332_at   530.2   A   0.398926
203588_s_at 298.6   A   0.398926
202082_s_at 2465.3  P   0.00293
202077_at   588.9   P   0.005859
202708_s_at 666.4   P   0.001221
203160_s_at 441.2   A   0.19458
203218_at   54.2    A   0.780518
213251_at   216.4   P   0.01416
203055_s_at 860.9   A   0.080566
209058_at   663.3   M   0.056152
91920_at    537.5   A   0.150527
209095_at   398.1   P   0.037598
201746_at   541.1   A   0.246094
202086_at   986.7   A   0.129639
201696_at   855.8   A   0.129639
209061_at   819.3   P   0.023926
214148_at   249.8   A   0.5
217923_at   287.8   A   0.303711
201980_s_at 395.2   P   0.005859
206353_at   893.3   A   0.067627
202011_at   231.7   P   0.00415
207186_s_at 675.3   P   0.023926
202388_at   11521.8 P   0.000244
202073_at   545.8   P   0.001953
202569_s_at 207.1   P   0.023926
1053_at 139.7   A   0.189687
202228_s_at 1144.7  P   0.001953
202539_s_at 102.9   A   0.398926
212870_at   555.4   P   0.00293
217956_s_at 515.9   A   0.171387
202824_s_at 682.5   P   0.030273
202392_s_at 1446.9  A   0.095215
202038_at   839.5   A   0.095215
221497_x_at 1131.5  P   0.001221
217973_at   107.9   A   0.567627
201955_at   450.3   P   0.037598
214341_at   346.1   A   0.366211
41160_at    1212.4  A   0.175989
221502_at   695.1   A   0.19458
213213_at   437 A   0.149658
207595_s_at 135.4   A   0.601074
209489_at   1390.7  P   0.01416
212369_at   1769.4  A   0.171387
209321_s_at 348.8   P   0.046143
201622_at   1222.7  A   0.334473
202246_s_at 781.5   M   0.056152
201989_s_at 908.7   P   0.046143
205615_at   33.8    A   0.904785
202264_s_at 1218.7  P   0.018555
206029_at   32.2    A   0.753906
209042_s_at 426.6   A   0.432373
213581_at   56.1    A   0.633789
202174_s_at 367 A   0.171387
222138_s_at 381.8   A   0.219482
202185_at   538.7   A   0.067627
203234_at   478.8   A   0.246094
202179_at   63.3    A   0.753906
202499_s_at 3871.6  P   0.000732
217870_s_at 411.8   P   0.001953
222011_s_at 626.3   A   0.080566
218900_at   71.7    A   0.665527
217960_s_at 112.3   A   0.567627
201792_at   245.7   A   0.5
202061_s_at 1506    P   0.010742
209854_s_at 54.3    A   0.870361
221737_at   134 A   0.432373
202066_at   215.2   A   0.171387
208830_s_at 955.7   P   0.023926
202159_at   772.5   A   0.366211
218059_at   876 P   0.037598
215338_s_at 633.2   P   0.00293
217974_at   49.5    A   0.696289
203284_s_at 234.7   A   0.171387
218206_x_at 733.2   A   0.171387
202282_at   412 A   0.219482
217937_s_at 73.3    A   0.601074
213951_s_at 102 A   0.398926
218030_at   1867    A   0.067627
220052_s_at 126.9   A   0.432373
204534_at   281 A   0.246094
209183_s_at 94.1    A   0.850342
208922_s_at 1471.8  P   0.00415
209157_at   290.3   A   0.111572
201690_s_at 230.3   A   0.246094
210740_s_at 2292.1  P   0.030273
201647_s_at 418.5   P   0.010742
201588_at   1140    P   0.008057
218063_s_at 92.2    A   0.665527
202106_at   21.4    A   0.850342
219106_s_at 103.1   A   0.246094
202030_at   471.4   A   0.303711
202097_at   490 P   0.000732
203666_at   673.9   P   0.023926
203559_s_at 348.9   P   0.010742
218173_s_at 551.2   P   0.023926
202085_at   136.3   A   0.567627
203549_s_at 211.5   A   0.432373
217933_s_at 368.8   A   0.080566
202550_s_at 486.2   A   0.111572
201938_at   615.4   A   0.19458
202350_s_at 14  A   0.753906
202322_s_at 347.6   A   0.149658
201976_s_at 66.5    A   0.633789
202273_at   106.2   A   0.753906
203392_s_at 745.7   A   0.080566
217942_at   424.4   P   0.037598
202766_s_at 126.7   A   0.366211
202289_s_at 193.7   A   0.633789
218024_at   636.1   P   0.01416
217844_at   1748.1  A   0.095215
218182_s_at 311.1   A   0.398926
202458_at   432.4   A   0.303711
217931_at   766.8   P   0.018555
202256_at   260.8   A   0.366211
201589_at   345.2   P   0.023926
203053_at   336.3   P   0.018555
209146_at   98.6    A   0.398926
202069_s_at 149.2   A   0.111572
36936_at    916.9   P   0.003585
201912_s_at 4008    P   0.000244
201756_at   1334.9  P   0.023926
202104_s_at 247.9   A   0.303711
213754_s_at 73.5    A   0.567627
211563_s_at 243.3   A   0.366211
219437_s_at 92.6    A   0.80542
203590_at   164.6   A   0.432373
202712_s_at 631.4   A   0.111572
202042_at   72.1    A   0.533936
203245_s_at 43.8    A   0.850342
202724_s_at 425.8   P   0.037598
202102_s_at 2333.2  P   0.000244
203336_s_at 44.9    A   0.780518
212331_at   3064.6  P   0.00415
210532_s_at 1245.2  P   0.030273
203262_s_at 624.5   A   0.067627
203722_at   37  A   0.981445
219140_s_at 38.4    A   0.969727
219466_s_at 159.2   A   0.432373
38766_at    405.6   A   0.284747
207280_at   96.8    A   0.80542
221761_at   703.2   P   0.023926
202597_at   998.7   A   0.080566
202902_s_at 4921.9  P   0.000732
219485_s_at 87.4    A   0.334473
202331_at   412.2   A   0.246094
201620_at   392 A   0.398926
210793_s_at 361.5   P   0.005859
202025_x_at 1028.6  P   0.030273
202746_at   841.7   P   0.000732
205750_at   165.9   A   0.366211
202140_s_at 686.9   A   0.171387
202168_at   392 A   0.067627
201716_at   1382    A   0.111572
221750_at   117.6   A   0.149658
217911_s_at 255.9   P   0.010742
222162_s_at 113.2   A   0.129639
206294_at   138.3   A   0.72583
208986_at   292.7   P   0.000732
201930_at   279.3   A   0.129639
214909_s_at 190.3   A   0.27417
202244_at   1082.1  P   0.00415
209189_at   92.4    A   0.601074
206064_s_at 90.2    A   0.5
203443_at   246.3   A   0.601074
209034_at   2770.8  P   0.005859
213044_at   1419.3  P   0.00293
