#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200098_s_at 771.1   A   0.067627
200099_s_at 14308.6 P   0.000244
208100_x_at 145.3   A   0.567627
208601_s_at 84.8    A   0.780518
208113_x_at 1642.5  P   0.008057
220976_s_at 223.2   A   0.366211
221232_s_at 309.3   A   0.432373
208066_s_at 604.2   A   0.080566
221268_s_at 119.1   A   0.080566
220996_s_at 42.9    A   0.696289
221239_s_at 143.6   A   0.533936
208134_x_at 740.2   A   0.303711
208025_s_at 432.1   A   0.129639
208606_s_at 24  A   0.753906
208097_s_at 370.2   A   0.5
208040_s_at 645.8   A   0.334473
220984_s_at 300.6   P   0.028564
221426_s_at 422.3   A   0.533936
221026_s_at 23.6    A   0.850342
221417_x_at 40.1    A   0.998047
221010_s_at 649.3   A   0.246094
208130_s_at 272.1   A   0.398926
208128_x_at 230.6   A   0.533936
208088_s_at 66.9    A   0.753906
208607_s_at 55.8    A   0.80542
221251_x_at 47.9    A   0.943848
221012_s_at 370.5   A   0.080566
221237_s_at 87.3    A   0.780518
208507_at   75.2    A   0.953857
221269_s_at 1619.2  P   0.005859
208104_s_at 406.3   A   0.334473
221032_s_at 673.9   A   0.432373
221246_x_at 961.9   A   0.095215
221024_s_at 177.4   A   0.72583
220997_s_at 161.3   A   0.27417
208592_s_at 467.6   A   0.246094
220998_s_at 168.7   A   0.466064
221451_s_at 354.7   A   0.067627
221455_s_at 60.1    A   0.72583
221266_s_at 390.8   A   0.149658
220989_s_at 656.7   A   0.067627
220962_s_at 519.8   A   0.246094
221023_s_at 75.6    A   0.665527
208147_s_at 163.2   P   0.01416
208149_x_at 2848.8  A   0.129639
221238_at   230.3   A   0.149658
221424_s_at 137.3   A   0.80542
221020_s_at 157 A   0.665527
208078_s_at 650.5   A   0.334473
221241_s_at 580.1   A   0.5
220972_s_at 8   A   0.77417
221027_s_at 187.3   A   0.080566
221240_s_at 1011.7  P   0.030273
221415_s_at 663.7   A   0.080566
221016_s_at 384.9   A   0.149658
208082_x_at 1680.1  P   0.008057
221017_s_at 107.9   A   0.533936
221019_s_at 440.4   A   0.246094
220965_s_at 949.6   A   0.129639
221004_s_at 139.5   A   0.753906
220964_s_at 371.8   A   0.246094
221234_s_at 351.2   P   0.00415
221448_s_at 363 A   0.219482
221013_s_at 599.7   A   0.27417
220982_s_at 147.2   A   0.888428
208118_x_at 762.6   A   0.27417
208030_s_at 905.6   A   0.080566
221421_s_at 711 A   0.067627
220988_s_at 644 A   0.067627
221447_s_at 1149.7  A   0.398926
208087_s_at 191.4   A   0.5
220970_s_at 145.4   A   0.633789
220983_s_at 74.7    A   0.80542
221414_s_at 325.6   A   0.246094
221254_s_at 23.9    A   0.98584
208508_s_at 115.6   A   0.366211
221001_at   243.6   A   0.567627
221005_s_at 83.6    A   0.80542
220975_s_at 363.3   A   0.334473
221429_x_at 69.7    A   0.466064
221437_s_at 35  A   0.870361
221236_s_at 440.4   A   0.129639
221018_s_at 27  A   0.72583
208109_s_at 25.4    A   0.904785
221008_s_at 235.5   A   0.27417
221276_s_at 222.2   A   0.466064
208093_s_at 1147.4  P   0.008057
208509_s_at 190.2   A   0.533936
221034_s_at 254.8   A   0.398926
208131_s_at 1083.2  P   0.030273
221260_s_at 245 A   0.432373
221262_s_at 45.8    A   0.432373
208107_s_at 34.1    A   0.919434
208027_s_at 405.7   A   0.19458
208153_s_at 361.6   A   0.246094
208022_s_at 13.3    A   0.780518
221438_s_at 24.3    A   0.919434
221015_s_at 240.2   A   0.533936
208098_at   130.6   A   0.398926
220993_s_at 246.5   A   0.149658
208126_s_at 337.4   A   0.432373
221419_s_at 2620.9  P   0.005859
221249_s_at 3721.3  P   0.001953
208604_s_at 75.1    A   0.5
221227_x_at 531.2   A   0.466064
221230_s_at 1224.8  P   0.00293
221248_s_at 84.1    A   0.633789
208075_s_at 45.6    A   0.828613
208152_s_at 634 P   0.00415
221029_s_at 29.2    A   0.981445
221272_s_at 81.4    A   0.72583
208609_s_at 97.5    A   0.828613
221228_s_at 104.2   A   0.828613
220978_at   29.3    A   0.601074
208151_x_at 119.5   A   0.567627
221270_s_at 86.5    A   0.80542
