#ID_REF = 
#VALUE = Signal
#ABS_CALL = Detection call
#DETECTION P-VALUE = Detection p-value
ID_REF  VALUE   ABS_CALL    DETECTION P-VALUE
200099_s_at 3414.5  P   0.000732
208100_x_at 235.6   A   0.72583
208601_s_at 94.8    A   0.601074
208113_x_at 852.3   P   0.00415
220976_s_at 347.6   A   0.129639
221232_s_at 293 A   0.398926
208066_s_at 501.4   A   0.111572
221268_s_at 77.9    A   0.432373
220996_s_at 69.3    A   0.72583
221239_s_at 53.3    A   0.753906
208134_x_at 599.1   A   0.149658
208025_s_at 334.9   A   0.19458
208606_s_at 23.5    A   0.72583
208097_s_at 300.5   A   0.366211
208040_s_at 400.4   A   0.398926
220984_s_at 418.2   A   0.149658
221426_s_at 446 A   0.533936
221026_s_at 45.7    A   0.919434
221417_x_at 49.2    A   0.991943
221010_s_at 550.5   A   0.366211
208130_s_at 800.1   A   0.111572
208128_x_at 907.7   A   0.334473
208088_s_at 58.4    A   0.80542
208607_s_at 80.8    A   0.828613
221251_x_at 52.6    A   0.943848
221012_s_at 405.3   P   0.023926
221237_s_at 186.6   A   0.696289
208507_at   93.5    A   0.943848
221269_s_at 2300.4  P   0.018555
208104_s_at 241.5   A   0.567627
221032_s_at 205.5   A   0.665527
221246_x_at 1508.5  P   0.037598
221024_s_at 35.9    A   0.753906
220997_s_at 79.7    A   0.303711
208592_s_at 547.7   A   0.27417
220998_s_at 437.4   A   0.398926
221451_s_at 346.4   A   0.246094
221455_s_at 91.7    A   0.633789
221266_s_at 101.2   A   0.398926
220989_s_at 405.3   A   0.149658
220962_s_at 461.5   A   0.219482
221023_s_at 86.4    A   0.567627
208147_s_at 182.4   A   0.246094
208149_x_at 2383.7  A   0.095215
221238_at   165.9   A   0.366211
221424_s_at 91.6    A   0.828613
221020_s_at 56.2    A   0.567627
208078_s_at 389.2   A   0.246094
221241_s_at 338.5   A   0.567627
220972_s_at 107.1   A   0.366211
221027_s_at 57.7    A   0.665527
221240_s_at 726.6   M   0.056152
221415_s_at 644 A   0.149658
221016_s_at 273.3   A   0.398926
208082_x_at 1823.3  P   0.005859
221017_s_at 187.2   A   0.432373
221019_s_at 375.5   A   0.219482
220965_s_at 744.2   A   0.219482
221004_s_at 203.1   A   0.696289
220964_s_at 1465.2  A   0.219482
221234_s_at 250.2   P   0.000244
221448_s_at 503.5   A   0.19458
221013_s_at 1133.1  A   0.080566
220982_s_at 51.1    A   0.962402
208118_x_at 98.8    A   0.633789
208030_s_at 1530.2  A   0.095215
221421_s_at 732.7   A   0.129639
220988_s_at 213 A   0.366211
221447_s_at 874.6   A   0.27417
208087_s_at 109.1   A   0.366211
220970_s_at 99  A   0.753906
220983_s_at 50.8    A   0.888428
221414_s_at 219.9   A   0.432373
221254_s_at 29.5    A   0.998047
208508_s_at 26.4    A   0.696289
221001_at   341.5   A   0.533936
221005_s_at 72.5    A   0.932373
220975_s_at 182.9   A   0.633789
221429_x_at 404.4   A   0.366211
221437_s_at 40.9    A   0.981445
221236_s_at 300.4   A   0.19458
221018_s_at 185.7   A   0.303711
208109_s_at 87.2    A   0.491699
221008_s_at 16.4    A   0.780518
221276_s_at 106.1   A   0.432373
208093_s_at 2543.4  P   0.001953
208509_s_at 446.3   A   0.246094
221034_s_at 682.6   A   0.303711
208131_s_at 655.7   P   0.010742
221260_s_at 212.1   A   0.366211
221262_s_at 281.1   A   0.466064
208107_s_at 61.5    A   0.780518
208027_s_at 460.6   A   0.171387
208153_s_at 330.7   A   0.111572
208022_s_at 15.2    A   0.888428
221438_s_at 29.3    A   0.850342
221015_s_at 277.3   A   0.567627
208098_at   126.9   A   0.601074
220993_s_at 324.5   A   0.19458
208126_s_at 195 A   0.72583
221419_s_at 2333.5  P   0.00293
221249_s_at 4546.2  P   0.001221
208604_s_at 68.6    A   0.80542
221227_x_at 686 A   0.366211
221230_s_at 1369.1  P   0.001953
221248_s_at 734.8   A   0.27417
208075_s_at 230.3   A   0.246094
